Adam,Scott,2012,5.0,16.0,70.53,3114557.0,0.3125
Adam,Scott,2013,6.0,16.0,70.25,4967611.0,0.375
Adam,Scott,2014,10.0,17.0,69.49,5188588.0,0.5882352941176471
Adam,Scott,2015,3.0,15.0,70.85,1382365.0,0.2
Adam,Scott,2016,9.0,20.0,69.8,6590590.0,0.45
Adam,Scott,2017,4.0,16.0,70.57,1766394.0,0.25
Adam,Scott,2018,3.0,21.0,70.56,2237641.0,0.14285714285714285
Adam,Stephens,2014,,,,,
Adam,Stephens,2015,,,,,
Adam,Svensson,2013,,,,,
Adam,Svensson,2014,,,,,
